ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,BATT_CR2032_MPD,Keystone,103,digi,103K-ND,,,,,,
L1002,38uH,SM100uH,ref_PULSE,PE-54040-S,sky-macau.com,3817361683,,,,,,
LD601,LED-blu,LED-0805,LITE-ON,LTST-C170TBKT,SEEED,NA,DIGI,160-1579-1-ND,,,,,
LD602,LED-blu,LED-0805,LITE-ON,LTST-C170TBKT,SEEED,NA,DIGI,160-1579-1-ND,,,,,
LD603,LED-blu,LED-0805,LITE-ON,LTST-C170TBKT,SEEED,NA,DIGI,160-1579-1-ND,,,,,
LD604,LED-blu,LED-0805,LITE-ON,LTST-C170TBKT,SEEED,NA,DIGI,160-1579-1-ND,,,,,
LD605,LED-blu,LED-0805,LITE-ON,LTST-C170TBKT,SEEED,NA,DIGI,160-1579-1-ND,,,,,
LD606,LED-blu,LED-0805,LITE-ON,LTST-C170TBKT,SEEED,NA,DIGI,160-1579-1-ND,,,,,
P1,CONN_25X2,PIN_ARRAY_25x2_A,do not populate,DNP,do not populate,DNP,,,,,,
P2,CONN_25X2,PIN_ARRAY_25x2_A,do not populate,DNP,do not populate,DNP,,,,,,
P3,CONN_2,PIN_ARRAY_2_A,do not populate,DNP,do not populate,DNP,,,,,,
P4,CONN_6,PIN_ARRAY-6X1,do not populate,DNP,do not populate,DNP,,,,,,
P5,CONN_1,1PIN_SMD,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P6,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P9,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P10,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P11,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P12,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P13,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P15,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P16,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P17,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P18,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P19,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P20,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P21,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P22,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P23,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P30,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
