; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Engine RPM: RPM
; Ignition timing advance for #1 cylinder: 
; Absolute throttle position: %
;
Time,Intake manifold absolute pressure,Time,Engine RPM,Time,Ignition timing advance for #1 cylinder,Time,Absolute throttle position
117.3886078,5.221359,117.4555427,821.25,117.5486378,5,118.031514,13.33333
117.7846345,5.221359,117.8776757,829.25,117.9606587,4,118.4316553,13.33333
118.2082012,5.076321,118.303553,820,118.3665631,4,118.8445949,13.33333
118.59467,5.221359,118.6835777,833.25,118.7746489,4,119.2577467,13.33333
119.0257389,5.076321,119.101703,824,119.1847005,3.5,119.6476398,13.33333
119.4266544,5.076321,119.4997006,824.25,119.5747014,4.5,120.0967526,13.33333
119.8226546,5.076321,119.9087325,825.75,120.0027635,7,120.5268318,13.33333
120.2727674,5.076321,120.346704,817,120.4328059,5.5,120.924814,13.33333
120.6868096,5.076321,120.7607976,818.25,120.8338566,5.5,121.3878088,13.33333
121.115793,5.076321,121.1978153,820.25,121.3147208,7,121.7868329,13.33333
121.5328173,5.076321,121.6227293,816.5,121.7068261,7,122.1958384,13.33333
121.9618101,5.076321,122.0298861,828,122.1048553,4.5,122.6425773,13.33333
122.3868704,5.076321,122.4738868,801,122.5712856,7,123.0969775,13.33333
122.8309061,5.076321,122.9248969,811.25,123.022821,7,123.4569405,13.33333
123.2428303,5.076321,123.3038421,794.5,123.3671833,10,123.843902,13.33333
123.6280125,5.221359,123.6934162,769.25,123.7769654,12.5,124.2979849,13.33333
124.0330136,5.221359,124.1069811,786.5,124.1991404,9,124.9289834,13.33333
124.6769994,5.366396,124.7569994,774.5,124.8326966,9,125.3783049,13.33333
125.1090093,5.366396,125.1829836,773.25,125.2760668,12.5,125.7820861,13.33333
125.5419662,5.366396,125.6260638,780.5,125.7070853,10.5,126.1861907,13.33333
125.9591291,5.366396,126.0276269,783.5,126.1111086,9.5,126.5962842,13.33333
126.3580788,5.366396,126.434995,779.5,126.5080848,10,127.0321394,13.33333
126.7721194,5.366396,126.8541827,784,126.9381349,8.5,127.4470793,13.33333
127.1951633,5.221359,127.2841941,819.75,127.3781813,3,127.8480857,13.33333
127.6245515,5.076321,127.6991886,819.5,127.7681961,6.5,128.2731812,13.33333
128.0241814,5.076321,128.1091702,823.25,128.1863318,5.5,128.7142024,13.33333
128.4502504,5.076321,128.5241776,820.75,128.623116,5,129.1242807,13.33333
128.8842143,5.076321,128.968133,810.25,129.0314449,6.5,129.5712593,14.5098
129.3242321,5.076321,129.401173,808,129.4972774,16.5,130.0003112,17.2549
129.7342771,6.091585,129.8293028,826.5,129.9056628,16.5,130.4253289,18.03922
130.1723291,9.427453,130.2553093,1165,130.3513205,15,130.8226158,18.43137
130.5833535,8.847302,130.6773826,1575,130.7453413,25,131.3112294,18.43137
130.9973668,8.412189,131.112391,1649.75,131.2263484,25.5,131.7093538,18.82353
131.4585234,8.702264,131.5403531,1587.75,131.6272624,24.5,132.1143961,18.43137
131.8733665,8.99234,131.9563741,1388,132.0303115,18,132.5834946,19.21569
132.3094219,8.412189,132.4104425,1571.25,132.5103536,29,132.983406,20
132.7574244,7.396924,132.828597,1783.75,132.8946883,32,133.6325088,21.96078
133.3683745,7.832038,133.4433847,2094.75,133.5345207,29.5,134.0315134,21.96078
133.7796402,8.267151,133.8734974,2318.5,133.9485109,33,134.4465455,20.78431
134.1945329,7.687,134.2825029,2506.5,134.3705114,39.5,134.8575066,20
134.6325139,6.526698,134.7065086,2676.5,134.7895222,42,135.3245589,17.2549
135.0316195,6.091585,135.1249291,2754.25,135.231665,44.5,135.7565775,17.2549
135.5075743,4.786245,135.5815733,2826.5,135.6766178,51,136.1596147,17.2549
135.9205945,4.641208,135.9945746,2854.75,136.0745908,51.5,136.5466243,20.39216
136.2926048,4.641208,136.3856168,2925.25,136.4716458,48,136.9976824,27.05882
136.7065693,7.106849,136.7994736,3053.5,136.9076611,34,137.4246356,30.58824
137.1727063,11.31294,137.2436146,3379,137.3327692,27.5,137.8287798,13.33333
137.5757038,7.541962,137.6465782,3574.75,137.7339116,22.5,138.3487474,13.33333
138.0316936,2.465641,138.1187601,3572.5,138.2637802,22.5,138.8575102,19.21569
138.5967403,2.320604,138.6897427,3252.5,138.7737518,51.5,139.2467104,27.84314
139.0227627,4.641208,139.095857,3277.75,139.1687837,42.5,139.6326018,47.45098
139.3948307,13.48851,139.4838296,3355.25,139.5599309,5.5,140.084908,13.33333
139.8300912,13.92362,139.9047655,3686.5,139.9948783,17,140.4397985,13.33333
140.2287912,2.465641,140.2898048,3683.5,140.3639137,22.5,140.8739298,23.13725
140.622841,2.320604,140.7099888,3324.25,140.7849266,47,141.3119551,56.47059
141.0330119,11.31294,141.1209629,3521.25,141.2238621,8.5,141.7589687,13.33333
141.4834113,13.63355,141.5832848,3775.5,141.671957,22.5,142.1439087,13.33333
141.9039896,2.175566,141.9829832,3793,142.0759856,22.5,142.5676043,13.33333
142.3090055,2.175566,142.4057061,3538.75,142.4956999,22.5,142.9970845,25.4902
142.733051,2.610679,142.8270637,3343.5,142.9130643,8.5,143.3961096,13.33333
143.1670035,8.267151,143.2400037,3337,143.3090945,31,143.8250543,13.33333
143.5901644,2.900755,143.6591303,3234.25,143.7491575,5,144.2325073,18.03922
143.9981692,2.610679,144.0931341,3056.75,144.1650513,12.5,144.6541549,19.21569
144.3971456,4.351132,144.505175,3075.25,144.5891849,42,145.04512,15.29412
144.8280937,5.366396,144.8902844,3011.25,144.9758692,40.5,145.4832762,13.33333
145.2332567,3.335868,145.3051619,2814.75,145.3921489,22.5,145.9244547,13.33333
145.6752855,2.900755,145.7582569,2694.75,145.8304,22.5,146.3382877,16.07843
146.0963147,2.610679,146.1723449,2549.25,146.2442673,49,146.7583365,17.64706
146.5073025,3.916019,146.5823207,2540,146.6753471,47.5,147.1633883,19.21569
146.9133457,4.786245,146.9994028,2468.5,147.0902743,36,147.5474196,29.01961
147.310411,7.396924,147.385385,2520.75,147.4746157,9.5,147.9844335,49.80392
147.7225644,13.48851,147.7984273,2710.75,147.9013901,5.5,148.3994491,55.29412
148.1524158,14.2137,148.2314531,3099.75,148.3264041,16,148.8324297,54.11765
148.5833972,14.35874,148.6574046,3549.25,148.7494163,18.5,149.2574385,26.27451
