; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Ignition timing advance for #1 cylinder: 
; Engine RPM: RPM
;
Time,Intake manifold absolute pressure,Time,Ignition timing advance for #1 cylinder,Time,Engine RPM
46661.6752657,10.73279,46661.9592923,29.5,46661.8124279,2801.75
46662.3873118,9.862566,46662.6753923,32,46662.5314106,3242.5
46663.0964237,8.702264,46663.3920714,32,46663.2564421,3617.25
46663.8094441,7.687,46664.0903895,37,46663.9554557,3916
46664.5147717,7.251887,46664.8014031,39.5,46664.6574608,4177
46665.2126458,6.961812,46665.4917512,39.5,46665.3554214,4435.5
46665.938999,6.961812,46666.2266911,41,46666.0715333,4687
46666.5185682,6.816774,46666.7396453,41,46666.6275806,4884.75
46666.9407671,6.816774,46667.1166308,40.5,46667.0316114,5012.5
46667.3216313,7.251887,46667.5186332,40,46667.4236366,5168.25
46667.7166626,7.106849,46667.9196519,41,46667.8256759,5304
46668.1146179,7.106849,46668.3075941,42,46668.2215387,5479.25
46668.5396372,6.961812,46668.6997041,43.5,46668.624761,5597.5
46668.877738,6.38166,46669.0327739,45.5,46668.9478768,5632.5
46669.2297742,5.801509,46669.3928069,46.5,46669.3047489,5709.75
46669.5447144,5.511434,46669.7018111,48.5,46669.6278022,5771.25
46669.8738106,5.366396,46670.0408049,47.5,46669.9447835,5692
46670.2368283,4.786245,46670.4308447,48.5,46670.341755,5672
46670.5998673,4.206094,46670.7607656,48.5,46670.6878945,5660.25
46670.9158845,4.061057,46671.1179071,22.5,46671.0238892,5552.75
46671.3009002,2.175566,46671.5609218,22.5,46671.414254,5398.5
46671.8571233,1.885491,46672.143694,22.5,46672.0031461,4933.25
46672.5883494,1.450377,46672.87295,22.5,46672.7320095,3496
46673.2940608,2.320604,46673.5783218,22.5,46673.4480548,2083.25
46674.0000964,3.625943,46674.2716889,22.5,46674.121104,1075.5
46674.7181708,6.38166,46674.97217,4,46674.8551463,1040.75
46675.4041819,8.412189,46675.7018692,28.5,46675.5494125,1972.5
46676.1222794,12.47325,46676.4193443,14.5,46676.2522538,2122
46676.8338384,12.90836,46677.1478219,22.5,46676.9982831,2880.75
46677.5932321,12.76332,46677.8622259,22,46677.7139737,3655.25
46678.2667662,12.18317,46678.5813904,25,46678.4084863,4462.75
46678.9873729,10.44272,46679.2536541,32,46679.1323754,5086.25
46679.688398,9.717528,46679.9845782,40,46679.8238538,5571
46680.3985933,7.541962,46680.7114655,45.5,46680.5385179,5847.25
46681.1323702,4.206094,46681.4350047,49,46681.2789732,5810
46681.8524971,3.480906,46682.1289194,49.5,46681.9915021,5619
46682.5422784,3.045793,46682.829758,51,46682.7074596,5451.5
46683.222868,2.755717,46683.5175744,53,46683.3739842,5233.25
46683.9416476,2.900755,46684.2126131,53,46684.0937261,4998.25
