BATTERY_CR2032,1,"BT1",BATT_CR2032_MPD,Keystone,103,digi,103K-ND
100,18,"R213 R223 R233 R243 R253 R263 R273 R283 R293 R303 R313 R323 R601 R604 R605 R608 R609 R612",SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND
120,1,"R473",SM0805,ECG,ERA6AEB121V,DIGI,P120DACT-ND
330R,1,"R5",SM0805,ECG,ERA6AEB331V,digi,P330DADKR-ND
680R,4,"R6 R7 R8 R9",SM0805,ECG,ERA6AEB681V,DIGI,P680DACT-ND
1k,9,"R11 R12 R13 R352 R701 R702 R703 R1001 R1002",SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA
1K,31,"R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R137 R141 R170 R171 R172 R173 R174 R404 R405 R408 R409 R412 R413 R416 R417 R420 R421 R424 R425 R427",SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA
1500,24,"R214 R215 R224 R225 R234 R235 R244 R245 R254 R255 R264 R265 R274 R275 R284 R285 R294 R295 R304 R305 R314 R315 R324 R325",SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND
2K,1,"R99",SM0805,ECG,ERA6AEB222V,digi,P2.2KDACT-ND
2700,17,"R210 R220 R230 R240 R250 R260 R270 R280 R290 R300 R310 R602 R603 R606 R607 R610 R611",SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND
5k,10,"R102 R103 R104 R106 R107 R108 R109 R110 R111 R112",SM0805,STACKPOLE,RNCP0805FTD4K99,digi,RNCP0805FTD4K99CT-ND
10k,23,"R1 R3 R4 R113 R114 R163 R164 R175 R176 R212 R222 R232 R242 R252 R262 R272 R282 R292 R302 R312 R321 R322 R472",SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND
39k,1,"R320",SM0805,ECG,ERA6AEB393V,digi,P39KDACT-ND
68k,2,"R167 R168",SM0805,ECG,ERJ-8GEYJ680V,DIGI,P68ECT-ND
100k,1,"R14",SM0805,ECG,ERA6AEB104V,DIGI,P100KDACT-ND
500K,11,"R211 R221 R231 R241 R251 R261 R271 R281 R291 R301 R311",SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND
1M,4,"R161 R162 R166 R351",SM0805,ECG,ERA-6AEB105V,digi,P1MDACT-ND
OPT,1,"R401",SIL-2,DNP,DNP,DNP,DNP
DISPLAY_BL,1,"S1",DISPLAY_4x20_BL
SW_PUSH,2,"SW1 SW2",TL-1105,E-SWITCH,TL1105F160Q,DIGI,EG1827-ND
TEST-C-C,1,"TEST2",SIL-2,dnp,dnp,dnp,dnp
LM2596,1,"U1001",DPAK5,linear,2596-5.0,digi,LM2596S-5.0/NOPB-ND,sky-macau.com,6841999795
ITEAD_HC-0X,1,"U4",ITEAD_HC-05
MAX9926/9927,1,"U101",maxim-10-QSOP16,maxim,MAX9926UAEE+,digi,MAX9926UAEE+-ND,mouser,700-MAX9926UAEE,--,-,other,more,stuff
SKQUCAA010,1,"U5",SKQUCAA010,alps,SKQUCAA010,newark,59M1983
LMV324IDR,3,"U201 U202 U203",SO14N,TI,LMV324IDR,DIGI,296-9569-1-ND
SN65HVD230,1,"U471",SO8E,TI,SN65HVD230QD,digi,296-13123-5-ND
MAX31855KASA,4,"U1101 U1201 U1301 U1401",SO8E,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND
TC4427,3,"U601 U602 U603",SOIC8-DFN,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA
NUF2101MT1G,1,"U2",SOT-457,on-semi,NUF2101MT1G,DIGI,NUF2101MT1GOSCT-ND
LM2937,1,"U3",SOT223,TI,LM2937IMP-3.3/NOPB,DIGI,LM2937IMP-3.3/NOPBCT-ND
FT232RL,1,"U351",ssop-28,ftdi,FT232RL,DIGI,768-1007-2-ND
STM32F407VG,1,"U1",TQFP_100,ST,STM32F407VGT6,digi,497-11605-ND
JMP,2,"W1002 W1003",SIL-2,DNP,DNP,DNP,DNP
TEST,2,"W702 W703",SM0805,DNP,DNP,DNP,DNP
TEST,60,"W1 W2 W3 W4 W5 W6 W7 W8 W9 W10 W11 W12 W13 W14 W15 W16 W17 W18 W19 W20 W21 W22 W27 W28 W29 W30 W31 W32 W33 W34 W35 W36 W37 W38 W39 W40 W41 W42 W43 W44 W45 W46 W47 W48 W49 W50 W51 W52 W53 W54 W55 W56 W57 W58 W59 W60 W61 W62 W63 W64",SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND
TEST,1,"W701",SM0805_jumper,DNP,DNP,DNP,DNP
CRYSTAL,1,"X1",HC-49V,CTS,ATS08A-E,digi,CTX1054-ND
CRYSTAL,1,"X2",MC-306,epson,MC-306 32.768K-E3:ROHS,digi,SER2417CT-ND
CRYSTAL,1,"X161",Q_49U3HMS,Fox Electronics,FOXSDLF/040,digi,631-1005-1-ND
